sample,race,shannon_wiener_index,normalized_shannon_wiener_index,simpson_index,inverse_simpson_index,gini_simpson_index,D50_index,chao1,chao1_SD,gini_coefficient
SRR5812634,European,5631.835527474431,0.8999006788396755,0.0011968470710018346,835.5286353860886,0.9988031529289981,10.70797662725914,15121.076530612245,53.945742155249455,0.5823991279971523
SRR5812635,European,15458.392192752865,0.783932969892511,0.0047027134372864396,212.64319277277082,0.9952972865627135,1.1509461320959906,235283.58847517174,221.84835495188958,0.707305311496822
SRR5812636,European,98776.16254695543,0.9225922988663641,0.0004516031359383862,2214.333604929691,0.9995483968640616,13.760183299389004,302351.0105421687,711.0785017111255,0.5912551158564563
SRR5812637,European,36333.64513466512,0.9348310584993741,0.00010190845964359166,9812.728045319673,0.9998980915403564,14.008498021099447,82698.99093655589,283.28319021959356,0.5947263886018794
SRR5812638,European,28392.547404789446,0.8838567909576854,0.001720070884282359,581.3713894803911,0.9982799291157176,10.564908137203746,123651.76956225901,367.8592005934606,0.6574521629441475
SRR5812639,European,616.7896352370319,0.7186293708026418,0.02878008233735341,34.74625222673908,0.9712199176626466,0.6683265627047569,7866.514018691589,42.314558216153195,0.7289229741665504
SRR5812640,European,10532.556066091578,0.9041779140717165,0.0012671980825943326,789.1426081964247,0.9987328019174057,11.423793937668991,28989.0,78.76619681295736,0.567785503932895
SRR5812641,European,2470.9486134338877,0.7696847619208367,0.012036649120820697,83.07960047370865,0.9879633508791793,3.446254835306529,30983.69226519337,218.7121372269515,0.6837882099034638
SRR5812642,European,4792.9848090739215,0.6975182103227544,0.022880168008124604,43.705972772791974,0.9771198319918754,0.4700942832516353,215316.00343695105,428.42985133950447,0.7817531871291739
SRR5812643,European,11163.359061851665,0.8662633120644391,0.0004146718715421324,2411.5452931038653,0.9995853281284579,5.0673522287851105,48774.1117363344,98.68174228196281,0.7832964727911882
SRR5812644,European,66553.40707693322,0.9095092581104266,0.00030590816168258895,3268.9549520342725,0.9996940918383174,10.732042342893829,229456.22371406958,487.88445392147025,0.6447256433349675
SRR5812645,European,74219.81535712296,0.9458120958399474,0.00017122089284056716,5840.408745743155,0.9998287791071594,17.93894211690005,166077.57479906664,427.31670075435414,0.5098042728347195
SRR5812646,European,12406.763639781591,0.90489799359198,0.00017392099322631919,5749.737173468899,0.9998260790067737,8.278710604292,35001.62001450326,90.9688138129995,0.6985798313907349
SRR5812647,European,2653.5213151901035,0.8644366131109072,0.0019195983589213154,520.9423082451125,0.9980804016410787,6.808231173380035,9451.347328244276,41.1444075428193,0.724266331937957
SRR5812648,European,34388.06134552634,0.8773690318098077,0.004405029483860894,227.01323649791468,0.9955949705161391,12.36644830147903,161702.2548862544,316.911709565148,0.6210814960470721
SRR5812649,European,7930.146555797624,0.8630420613722287,0.001713884533554261,583.4698781756293,0.9982861154664457,8.150822059091185,36317.177990430624,176.5152527479113,0.707082736020565
SRR5812650,European,4354.942229571982,0.6373667101865744,0.015507880550699323,64.48334424106106,0.9844921194493007,0.02284464664017729,1255279.496138996,4367.911849756878,0.8232648054665288
SRR5812651,European,510496.6915823722,0.9526492846539419,1.0918726314581127e-05,91585.77394366742,0.9999890812736855,16.332001467770212,1040364.8796111353,448.058370737995,0.5056999686454698
SRR5812652,European,242277.14628254008,0.9357967221499116,0.00016110323508691134,6207.199994838862,0.9998388967649131,17.127573482092956,598492.7099953885,454.8233314775552,0.5036181673374089
SRR5812653,European,382.54720597495543,0.5626662356735349,0.0140335491780322,71.2578113571852,0.9859664508219678,0.0873766447368421,42097.32003565857,114.22222321241249,0.9611558054491742
SRR5812654,European,24569.01988293767,0.8153301345954895,0.0023643009458519386,422.95800023023963,0.9976356990541481,5.826887873740456,258921.31211857017,308.38568736312345,0.6400652892751988
SRR5812655,European,387.4532717525877,0.6416609078274882,0.11385870685602835,8.782815364875665,0.8861412931439716,1.1753817677001388,11406.25,58.04190318021404,0.8184340168959123
SRR5812656,European,12338.806635211362,0.7909679629776216,0.0010168999389333303,983.380922462187,0.9989831000610667,1.056728578054732,155673.0776088514,158.81756591398874,0.8442198684871809
SRR5812657,European,2334.705184013591,0.7568453776670533,0.014071256661867015,71.0668580660597,0.985928743338133,2.414294324103946,29930.182352941178,91.6076461909107,0.6669401673532448
SRR5812658,European,1390.4625361181518,0.6918781857444656,0.021479772000065955,46.55542898671966,0.9785202279999341,0.19479217393795295,36864.37415166716,74.11424668947349,0.7278364475335726
SRR5812659,European,708.586227759619,0.6200959741004156,0.04726039655206506,21.159365408589753,0.952739603447935,0.0480903085372953,42415.26578115117,94.6723404524813,0.7640433659067198
SRR5812660,European,1485.9265242285144,0.7210754688394617,0.023990052800959172,41.683943270021395,0.9760099471990409,1.2889066241021547,29066.43435980551,193.7009620853555,0.7096223595401587
